nombre,pais,latitud,longitud
Bacacay,Philippines,13.2979317,123.7802005
Doumuhu,China,28.947331,111.633245
Oslo,Norway,59.9050895,10.7673005
Wenjiao,China,19.7206,110.460225
Saravia,Philippines,10.8780876,122.981075
Guantouzui,China,39.8032712,113.9849159
Loei,Thailand,17.4605379,101.7523854
Canindé,Brazil,-4.3681626,-39.4035876
La Garenne-Colombes,France,48.9066299,2.2456603
Monte Carmelo,Brazil,-18.7307117,-47.4916674
Helsingborg,Sweden,56.0485726,12.6933337
Zheleznogorsk-Ilimskiy,Russia,56.6175886,104.1948978
Turba,Estonia,59.0800798,24.2361948
Ōno-hara,Japan,37.3420459,140.5649671
Otjimbingwe,Namibia,-22.3531369,16.1286901
Gufeng,China,30.983057,117.099325
Bronnitsy,Russia,55.4055305,38.2447393
Gaomi,China,36.377539,119.757032
Tbilisskaya,Russia,45.3913779,40.1763516
Mysove,Ukraine,45.4451601,35.8363269
Fuqiang,China,25.721143,119.384334
Olmos,Peru,-5.9873416,-79.7455956
Checacupe,Peru,-14.0260541,-71.4544256
Pedro García,Dominican Republic,18.4668424,-69.2888011
Cijayana,Indonesia,-7.5352682,107.5682677
Hejiang,China,29.1416432,119.7889248
Chrzanów,Poland,50.404585,20.9948039
Swedru,Ghana,5.5298168,-0.705779
Durrës,Albania,41.3245904,19.4564686
Wisła,Poland,49.6308644,18.8985165
Hujirt,Mongolia,46.9063815,102.7636515
Atlantis,South Africa,-33.5938745,18.5268253
Tsaghkahovit,Armenia,40.6379848,44.2249621
Jayune,Peru,44.6233945,-73.5346134
Baiqi,China,24.880992,118.71899
Toutosa,Portugal,41.2212595,-8.1439987
Lushuihe,China,28.46763,119.922796
Barice,Bosnia and Herzegovina,43.8903154,18.4410798
Brongkalan,Indonesia,-7.2575,112.7674
Aoji-ri,North Korea,42.52056,130.39528
Zhuanshui,China,23.992676,115.703598
Mişrātah,Libya,32.3196827,15.1025075
Dąbrowa,Poland,52.7704654,17.9583306
Anau,French Polynesia,-17.3878955,-145.582949
Shah Alam,Malaysia,3.0100681,101.5326734
Malambo,Colombia,10.837327,-74.8390162
Åtvidaberg,Sweden,58.1628402,16.3083468
Laboulaye,Argentina,-31.4834373,-64.2145666
Thành Phố Bà Rịa,Vietnam,10.508928,107.1816257
Chutove,Ukraine,49.7180346,35.1228303
Kebonjaya,Indonesia,-7.6609976,112.8968078
Gračec,Croatia,45.8361987,16.3077813
Trashigang,Bhutan,27.3325014,91.5523435
Ţahţā,Egypt,26.7647964,31.4982868
Dzięgielów,Poland,49.7073884,18.7184096
Hafnarfjörður,Iceland,64.0516089,-21.986995
Fonte,Portugal,41.308715,-8.1332997
Halmstad,Sweden,56.6495031,12.7902265
Chumphon Buri,Thailand,15.787156,104.1478667
Molina,Chile,-35.1164987,-71.2829759
Jiangzhang,China,29.482105,86.228141
Shah Alam,Malaysia,3.0100681,101.5326734
Bugojno,Bosnia and Herzegovina,44.0562486,17.4498275
Taurage,Lithuania,55.4046005,22.5703273
Gaoshan,China,26.682871,100.109307
Santa Cruz,Mexico,19.6938888,-99.2591666
Pouébo,New Caledonia,-20.3992407,164.5870829
Stari Grad,Croatia,43.1839958,16.5992505
Taipinghu,China,53.3004898,-6.2634596
Taibai,China,34.058401,107.319116
Liudaogou,China,40.513357,96.769073
Tagbilaran City,Philippines,9.6399306,123.8572829
Patrocínio,Brazil,-18.998706,-47.058302
Puncakwangi,Indonesia,-7.2953035,107.0716609
Chimanimani,Zimbabwe,-19.8,32.866667
Židlochovice,Czech Republic,49.0395242,16.6188111
Sotíra,Cyprus,35.0072371,33.9359756
Zhyrovichy,Belarus,53.0131368,25.3425332
Vrbovec,Czech Republic,48.7974858,16.1084808
Xiting,China,32.117935,121.009708
Ţāqchah Khānah,Afghanistan,36.61922,69.62805
La Habana Vieja,Cuba,23.1343601,-82.3533266
Kayl,Luxembourg,49.4941103,6.0360933
Op,Indonesia,-9.9234974,124.649701
Guluoshan,China,29.57858,110.191933
Gludug,Indonesia,-8.1221236,112.0640052
Pachīr wa Āgām,Afghanistan,34.0740905,70.2884528
Jiangti,China,27.0874564,114.9042208
Changyŏn,North Korea,38.2527464,125.0911142
Telaga,Indonesia,-6.981636,108.308502
Bykov,Russia,47.335609,142.5504149
Lyuboml’,Ukraine,51.2329872,24.0364394
Yixing,China,31.340637,119.823308
Tukums,Latvia,56.969664,23.15319
Skwierzyna,Poland,52.5967759,15.5140181
Zhangjiaji,China,29.117096,110.479191
Butiama,Tanzania,-1.7669836,33.9694276
Kōchi-shi,Japan,33.6450129,133.4789243
Veselí nad Lužnicí,Czech Republic,49.2275285,14.7209457
San Salvador,El Salvador,13.6929403,-89.2181911
Lupao,Philippines,15.847683,120.9187827
Palcamayo,Peru,-11.2957096,-75.7727595
Jistebník,Czech Republic,49.7523172,18.1313741
Municipio de Copacabana,Colombia,6.323976,-75.4985521
Firmat,Argentina,-33.453544,-61.486922
Chilly-Mazarin,France,48.7037515,2.3056035
Nong Khai,Thailand,17.8895907,102.579531
Ryazan’,Russia,54.6192996,39.8560057
Horton,United Kingdom,51.5598572,-2.3523889
Richky,Ukraine,51.1164143,34.4870021
Kiên Lương,Vietnam,10.3043903,104.6354631
Manfalūţ,Egypt,27.3115158,30.9713333
Orodo,Nigeria,5.6165948,7.0364022
Mae Sai,Thailand,20.4225249,99.9185708
Vale de Figueira,Portugal,38.8208757,-9.1030431
Muikamachi,Japan,38.2589551,140.3422958
Mijiang,China,26.855047,100.22775
Padaran,Indonesia,-6.7115834,111.3947978
Kavieng,Papua New Guinea,-2.5781167,150.8086082
Huangji,China,31.231521,121.45076
Zgornje Bitnje,Slovenia,46.2209242,14.3353423
Kimakamak,Indonesia,-8.301579,123.0648331
Danao,Philippines,9.9578348,124.1789637
Macabugos,Philippines,13.2606549,123.3710571
Warungawi,Indonesia,-6.9560364,107.4135643
Belajen,Indonesia,-3.3226005,119.8245506
Toulouse,France,43.8273805,1.3951553
Lesozavodsk,Russia,45.323812,133.4113691
Thị Trấn Việt Quang,Vietnam,22.4177717,104.8104424
Longaví,Chile,-35.9636265,-71.6831251
Kusi,Indonesia,-10.0274881,124.4752715
Choushui,China,28.590337,105.697472
Vallentuna,Sweden,59.6535297,18.3648033
Lindavista,Mexico,19.5037694,-99.1324282
Tuscaloosa,United States,33.207199,-87.5482025
Orange,France,44.1372925,4.810107
Limoeiro do Norte,Brazil,-5.1443118,-38.0850339
Huyang,China,22.9353419,113.6587617
Pasirhuni,Indonesia,-7.0970638,107.5771444
Langford,Canada,48.4474626,-123.4956337
Guogan,China,23.2878976,113.8374236
New York City,United States,40.7582228,-73.9704871
Dobřany,Czech Republic,50.322121,16.2852974
Muarabadak,Indonesia,-0.3662126,117.4086488
Puerto Berrío,Colombia,6.477755,-74.4088
Cisasak,Indonesia,-6.5687237,106.6491595
Yushikalasu,China,46.71034,84.046436
Fengting,China,25.22796,106.78953
Poddębice,Poland,51.8803457,18.9033376
Qitai,China,44.022066,89.593967
Voyskovitsy,Russia,59.538889,29.9194439
Denver,United States,39.7446895,-104.9933772
Piketberg,South Africa,-32.90269,18.7671299
Bassano,Canada,50.78342,-112.46854
Hanyuan,China,29.344616,102.652483
Santo Domingo de los Colorados,Ecuador,-0.2389045,-79.1774268
Escola,Portugal,41.3199734,-7.9720237
Cisantri,Indonesia,-7.068288,106.8953043
Cishangang,China,31.072149,119.549715
Dongchong,China,22.884636,113.454975
Kieta,Papua New Guinea,-6.2204747,155.6376301
Satita,Syria,34.8190348,36.1192307
Qingshan,China,30.63963,114.385538
Foumbouni,Comoros,-11.8648237,43.492161
Duma,China,37.5957943,107.411996
Orlovskiy,Russia,51.0692,114.7465
Igarapava,Brazil,-20.0421785,-47.7563994
Qianshan,China,41.068909,122.949298
Santo Niño,Philippines,14.3839328,121.050126
San Joaquin,Philippines,10.586582,122.142091
Lisala,Democratic Republic of the Congo,2.1701072,21.4872092
Corga,Portugal,40.5126881,-8.1587128
Montelíbano,Colombia,7.9500846,-75.3594016
Tanjung Kidul,Indonesia,-7.4394897,109.2251697
Al Manqaf,Kuwait,29.1070609,48.1239894
Corralito,Argentina,-33.0061376,-60.6722815
Longzhou,China,22.342771,106.854376
La Gi,Vietnam,10.71574,107.7991545
Yangiobod,Uzbekistan,41.1155359,70.1039032
Habiganj,Bangladesh,24.4771236,91.4506565
El Ksour,Tunisia,35.8875895,8.8886672
Chodzież,Poland,52.995267,16.9198184
Horad Barysaw,Belarus,54.2144309,28.5084359
Rokietnica,Poland,52.5094874,16.7474972
Mananum,Philippines,8.920465,125.008956
Rumelange,Luxembourg,49.4604602,6.0280525
Xidajie,China,34.2579981,108.9422832
Shejiang,China,29.1416432,119.7889248
Bowen Island,Canada,49.3637828,-123.2679395
Saverne,France,48.73934,7.3660499
Tālīn,Syria,35.14849,36.03288
Alapayevsk,Russia,57.8352611,61.6978774
Massakory,Chad,12.9953534,15.7321831
Oranzherei,Russia,45.84756,47.56635
Hele,China,18.903521,110.477642
Sidi Amar,Morocco,32.966667,-5.866667
Ortega,Colombia,3.8366437,-75.2245693
Ruoqiang,China,39.024258,88.166695
Mamara,Peru,-14.23792,-72.591949
Delgermörön,Mongolia,46.516667,98.35
Bang Saphan,Thailand,11.1148457,99.4450439
Užice,Serbia,43.8554024,19.8420937
Granica,Poland,50.6696898,18.2791747
Krumvíř,Czech Republic,48.9893868,16.9151793
Hetai,China,23.350767,112.284638
Butembo,Democratic Republic of the Congo,0.114047,29.3018011
San Juan de Dios,Costa Rica,9.879065,-84.081486
Hovtashen,Armenia,40.0249257,44.4540632
Sanshilipu,China,36.853122,116.090605
Chojnice,Poland,53.6944002,17.5569252
Castanhal,Brazil,-1.3050431,-47.9340343
Sosándra,Greece,40.9993168,22.0336319
Sernovodsk,Russia,53.9256842,51.2577545
Nîmes,France,43.8324929,4.3662321
Xinpo,China,29.536212,104.189955
Kitakyūshū,Japan,33.8580586,130.7620202
Shaxi,China,26.312444,99.850365
Furmanov,Russia,57.2331599,41.0611975
Šentvid pri Stični,Slovenia,45.9536011,14.8386368
Eguia,Philippines,15.9042688,119.8863306
Meiyuan,China,31.27707,119.567195
Anaráchi,Greece,40.4925406,21.5714154
Krzynowłoga Mała,Poland,53.1458749,20.8157058
Tiandiba,China,28.721763,108.389861
Pavia,Portugal,38.8944448,-8.0208303
Al Maḩallah al Kubrá,Egypt,30.9781287,31.162448
La Serena,Chile,-29.9026691,-71.2519374
Penghua,China,29.655143,121.406995
Bajiao,China,19.233277,109.412626
Boco,Portugal,39.8647755,-8.9052753
Srinjine,Croatia,43.486492,16.5996595
Senangkhanikhom,Thailand,16.0445969,104.669996
Jinghai,China,38.947512,116.97413
Guarapari,Brazil,-20.6741197,-40.4997382
Gandong,Indonesia,-7.3966297,111.5498112
San Jose,Mexico,18.8962696,-96.9417785
Ujungpangkah,Indonesia,-6.9353179,112.548349
Eláteia,Greece,38.6276904,22.7650721
Fengyang Fuchengzhen,China,32.871671,117.56024
Novoye Leushino,Russia,56.81,40.51
Chiara,Peru,-13.87016,-73.667793
Municipio de Copacabana,Colombia,6.323976,-75.4985521
Sindangsari,Indonesia,-7.811056,108.438797
Paris 19,France,43.4945737,5.8978018
Matsushima,Japan,38.3691874,141.059301
Lagny-sur-Marne,France,48.9097908,2.7104352
El Pino,Honduras,15.7193344,-86.9173327
Jixing,China,30.753924,120.758543
Polzela,Slovenia,46.280897,15.0737321
Camangcamang,Philippines,10.1206819,122.9809409
Maroúsi,Greece,38.0549562,23.807655
Port-Vila,Vanuatu,-17.7332512,168.3273245
Talcahuano,Chile,-36.7247834,-73.1169808
Las Parejas,Argentina,-34.5872079,-58.494505
Kozhva,Russia,66.5299478,66.6127258
Ushirombo,Tanzania,-3.4944313,31.9899648
Gävle,Sweden,60.706979,17.1401083
Bīr Nabālā,Palestinian Territory,31.851182,35.200835
Ciudad Choluteca,Honduras,13.3198572,-87.1622344
Amherst,Canada,45.8299686,-64.2092372
Kalloní,Greece,39.233118,26.2072301
Monywa,Myanmar,22.1215513,95.1536327
Letsheng,Botswana,-22.6700589,27.225321
Gniechowice,Poland,50.98804,16.83363
Maïné Soroa,Niger,13.2143917,12.0289902
Aramecina,Honduras,13.7401075,-87.7135671
Provins,France,48.5625988,3.3093771
Qingshui,China,34.749864,106.137293
Doropeti,Indonesia,-8.3501717,117.9483319
Nahāvand,Iran,34.188318,48.3688834
Daming,China,36.285616,115.147814
Yuanguping,China,29.008818,110.733813
Gowurdak,Turkmenistan,37.8163881,66.0285106
Kināna,Sudan,14.0361,33.1712
Santa Rita,Bolivia,-17.9808139,-63.3697226
Nirji,China,48.48333,124.48333
Nianba,China,31.839084,106.763842
Kongjiang,China,29.686366,89.208761
Pulau Pinang,Malaysia,5.414515,100.329744
Thanh Ba,Vietnam,21.4677045,105.1492869
Funes,Colombia,1.001167,-77.448926
Ramos West,Philippines,16.7054663,121.672666
Bussum,Netherlands,52.2766397,5.162358
Klobuky,Czech Republic,50.2940131,13.9874928
Lingyuan,China,41.245445,119.4015739
Lewobelek,Indonesia,-8.3104,123.229
Vysokogornyy,Russia,43.6296613,39.705727
Santa Bárbara,Venezuela,7.8129929,-71.1745579
Bojnik,Serbia,43.0173794,21.7228156
Feni,Bangladesh,23.0356299,91.4828056
Bishan,China,29.592024,106.227305
Cascavel,Brazil,-24.9288708,-53.4392535
Guyang,China,26.647661,106.630153
Rodhítsa,Greece,38.88829,22.4641
Yangyuan,China,40.104663,114.150348
Montpellier,France,47.3752386,-0.8453268
Valladolid,Spain,41.6704519,-4.7135268
Yonglong,China,25.416658,115.935862
Juripiranga,Brazil,-7.3554007,-35.2258365
Ayapel,Colombia,8.1607397,-75.1078332
Batang,Indonesia,-7.0392183,109.9020509
Dado,Philippines,8.5052219,125.9753765
Cervantes,Philippines,14.4712676,121.0441201
Nacimiento,Chile,-37.5059062,-72.6737875
Dar es Salaam,Tanzania,-6.792354,39.2083284
Tacheng,China,46.748522,82.978928
Al Ḩawāmidīyah,Egypt,29.9,31.25
Jesenice,Croatia,43.4617173,16.5989466
Hamburg,Germany,53.5900195,9.9897946
Carolina,South Africa,-26.0730802,30.1069594
Alcala,Philippines,17.902174,121.653543
Dióni,Greece,38.020906,23.9325441
Gradishtë,Albania,40.8875343,19.5880506
Saribudolok,Indonesia,2.9370409,98.611191
Nový Bor,Czech Republic,50.7576138,14.5555639
San Pedro,Bolivia,-16.5030766,-68.1346594
Słotowa,Poland,49.9444329,21.2934649
Las Higueras,Argentina,-37.9361202,-57.5552203
Sarangmeduro,Indonesia,-6.7369905,111.6694262
Köln,Germany,50.9093945,7.0486698
Steinkjer,Norway,64.012788,11.487163
Sydney,Australia,-33.7974423,151.2502275
Kuluran,Indonesia,-6.9996952,112.4142453
Sierra Imataca,Venezuela,7.75,-61
Folques,Portugal,40.2221306,-8.0122102
Malino,Philippines,14.295795,120.9905117
San Miguelito,Panama,9.0707553,-79.4816378
El Valle del Espíritu Santo,Venezuela,10.9811398,-63.8788287
San Pedro Necta,Guatemala,15.4910185,-91.765785
Beaverton,United States,45.4863306,-122.8020059
Vincennes,France,44.8178615,-0.2498116
Mina de São Domingos,Portugal,37.6729124,-7.4966456
Haolin,China,31.859653,120.558606
Jinchuan,China,38.521085,102.194089
Manalongon,Philippines,9.2214675,122.8845373
København,Denmark,55.6649287,12.5504728
Huangbei,China,24.412155,115.744112
Courtaboeuf,France,48.695223,2.190167
Puteaux,France,48.8834605,2.2335234
Jiaozuo,China,35.215892,113.241823
Brest,France,48.3909721,-4.4854059
Georgetown,Saint Vincent and the Grenadines,13.28386,-61.1213871
Presidencia Roque Sáenz Peña,Argentina,-34.6045775,-58.3799949
El Charco,Colombia,2.0560112,-77.5160788
Krahës,Albania,40.4407041,19.8451169
Karangtengah,Indonesia,-6.8008183,107.1781769
Naples,United States,26.132433,-81.7951054
Sayang Lauq,Indonesia,-8.5694,116.1325
Cerro Colorado,Uruguay,-33.8603461,-55.5441311
Macabugos,Philippines,13.2606549,123.3710571
Terre Haute,United States,39.4596137,-87.3478243
Sierpc,Poland,52.8568142,19.669432
Ilebo,Democratic Republic of the Congo,-4.3253802,20.5870955
Qiaoxi,China,38.004153,114.461066
Irkutsk,Russia,52.2445931,104.2483085
Barretos,Brazil,-20.5558832,-48.5762695
Sairam,China,27.6985161,85.3117065
Camp Thorel,Mauritius,-20.210385,57.6240731
Kota Kinabalu,Malaysia,5.9840985,116.0761121
Ashford,Ireland,53.385304,-6.3828795
Sabanalarga,Colombia,4.8413815,-72.9899505
Guishan,China,22.141482,113.83012
Sumbergayam,Indonesia,-8.1067604,111.8240676
Karuk,Indonesia,-6.2845079,107.4006862
Falun,Sweden,60.6221986,15.6073973
Rixi,China,28.856082,93.388853
Maying,China,38.235041,115.726317
Taishanmiao,China,34.074131,108.158909
Ash Shawātī,Yemen,16.78314,43.81265
Tandil,Argentina,-34.6645787,-58.5055758
Thị Trấn Phù Yên,Vietnam,21.2648137,104.6427499
Zhyrovichy,Belarus,53.0131368,25.3425332
Donggang,China,39.863008,124.1527051
Nuevo Arraiján,Panama,8.9308058,-79.7343791
Luhyny,Ukraine,51.0836752,28.4004787
San Jose,Mexico,25.8007724,-100.4277766
Balugo,Philippines,9.364014,123.2468727
Wosai,China,36.962751,100.901228
Kamen,Croatia,43.5111646,16.5201503
Kirovs’k,Ukraine,48.6354729,38.6373937
Hallstahammar,Sweden,59.6132041,16.2294755
Beya,Russia,53.0475258,90.944621
Xiabuji,China,26.885704,120.005147
Atakpamé,Togo,7.5286908,1.1305049
Haumeni,Indonesia,-9.8895144,124.6552328
Zitong,China,31.642718,105.170845
Massaranduba,Brazil,-26.6119534,-49.0075714
Pajé,Comoros,-12.1768359,44.3862983
Velká Bíteš,Czech Republic,49.290817,16.2263509
Syktyvkar,Russia,45.0052663,41.1199008
Pechenizhyn,Ukraine,48.5184268,24.8858948
Pumaqangtang,China,28.599774,90.204816
Gunjur,Gambia,13.1806725,-16.7559004
Pingya,China,37.189822,112.176206
Andou,China,32.990027,101.56916
Tushi,China,25.521039,112.309325
Wanmao,China,34.799642,103.202869
Tanahwulan,Indonesia,-8.0038635,113.7216313
Paracambi,Brazil,-22.6083065,-43.7112547
Korem,Ethiopia,12.5073384,39.5200688
Gampingan,Indonesia,-8.1968847,112.5304693
Huddinge,Sweden,59.2891092,18.0509133
Mamuša,Kosovo,42.3273306,20.7226764
Osilnica,Slovenia,45.5291637,14.6984205
